Product Name,Brand,Category,SKU,EAN,Ingredients,Size/Packaging,Product Image URL,Product Page URL
Medicube - Deep Vita C Capsule Cream - 55g,Medicube,Bulk Moisturizer,MEDICUBE-17,8.80998E+12,"stabilized vitamin C- brightens, fades dark spots, boosts collagen, protects against oxidation, vitamin C capsules- melt into the skin for enhanced potency and radiance, niacinamide- brightens, refines texture, strengthens the barrier, hyaluronic acid- hydrates deeply and maintains moisture balance, panthenol- soothes, softens, and improves skin comfort.",55 g,https://qudobeauty.com/wp-content/uploads/2025/04/Frame-1618871782.jpg,https://qudobeauty.com/product/medicube-deep-vita-c-capsule-cream-55g/
COSRX - Advanced Snail 96 Mucin Power Essence - 100ml,COSRX,Bulk Moisturizer,COSRX-11,8.80942E+12,"Snail Secretion Filtrate (96% Snail Mucin)- intensely hydrates, supports skin repair, smooths texture, and enhances elasticity while improving overall radiance. Sodium Hyaluronate (Hyaluronic Acid)- binds moisture deep within the skin, keeping it supple, plump, and soft. Panthenol (Vitamin B5)- soothes irritation and reinforces the moisture barrier for added comfort. Allantoin- calms stressed skin and promotes a smoother, healthier-looking surface. Hydrating and skin-repairing agents- support long-lasting moisture and improved skin resilience.",100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470009-600x600.avif,https://qudobeauty.com/product/advanced-snail-96-mucin-power-essence-100ml/
Medicube - Collagen Jelly Cream - 110ml,Medicube,Bulk Moisturizer,MEDICUBE-06,8.80998E+12,"hydrolyzed collagen- boosts firmness, smooths fine lines, enhances elasticity, niacinamide- brightens, balances tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, moisturizes, and protects sensitive skin, lightweight emollients- soften and improve overall texture.",110 ml,https://qudobeauty.com/wp-content/uploads/2025/04/collagencream1.webp,https://qudobeauty.com/product/medicube-collagen-jelly-cream-110ml/
Medicube - PDRN Pink Collagen Capsule Cream - 55g,Medicube,Bulk Moisturizer,medicube-28,8.80026E+12,"PDRN- supports regeneration, improves elasticity, revitalizes the skin, collagen capsules- enhance firmness, smooth fine lines, boost suppleness, niacinamide- brightens, balances sebum, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, moisturizes, and protects sensitive skin.",55 g,https://qudobeauty.com/wp-content/uploads/2025/05/s-l1200-10-600x600.webp,https://qudobeauty.com/product/medicube-pdrn-pink-collagen-capsule-cream-55g/
Dr. Althea - 345 Relief Cream - 50ml,Dr. Althea,Bulk Moisturizer,ALTHEA-7,8.80945E+12,"Centella Asiatica Extract- calms irritation, reduces redness, and supports skin recovery. Panthenol (Vitamin B5)- strengthens the moisture barrier, soothes sensitivity, and improves skin comfort. Madecassoside- a potent compound from Centella that promotes healing and reduces inflammation. Ceramide NP- reinforces the skin barrier to lock in moisture and protect against external aggressors. Hyaluronic Acid- hydrates deeply and maintains moisture balance without heaviness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/DrAltheaReliefCream1-600x600.webp,https://qudobeauty.com/product/dr-althea-345-relief-cream-50ml/
Medicube - Collagen Jelly Cream - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-24,8.80026E+12,"hydrolyzed collagen- improves firmness, smooths fine lines, boosts elasticity, niacinamide- brightens, balances skin tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, moisturizes, and protects sensitive skin, lightweight emollients- enhance softness and overall texture.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/61c5EovDcyL._SL1500_-600x600.webp,https://qudobeauty.com/product/medicube-collagen-jelly-cream-50ml/
"Haruharu Wonder - Black Rice Probiotics Barrier Essence, 120ml",Haruharu Wonder,"Bulk Moisturizer , Bulk Toners",HARU-23,8.80953E+12,"Fermented Black Rice Extract- packed with antioxidants that protect the skin, nourish deeply, and support long-term barrier health. Probiotics Complex- helps balance the skin microbiome, reinforces the barrier, and improves overall skin strength and resilience. Hyaluronic Acid & Glycerin- deliver lasting hydration, keeping the skin plump, soft, and comfortably moisturized. Soothing Botanicals- calm irritation and help reduce redness, leaving the skin balanced and refreshed. Lightweight Essence Texture- absorbs quickly and layers effortlessly, providing hydration without heaviness.",120 ml,https://qudobeauty.com/wp-content/uploads/2025/04/HaruHaru-Wonder-Black-Rice-Probiotics-Barrier-Essence-120ml-1-2-600x600.jpg,https://qudobeauty.com/product/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml/
Medicube - PDRN Pink Hyaluronic Moisturizing Cream - 50ml,Medicube,Bulk Moisturizer,medicube-38,8.80026E+12,"PDRN- boosts regeneration, improves elasticity, revitalizes dull skin, hyaluronic acid- hydrates deeply and plumps the complexion, niacinamide- brightens, balances sebum, strengthens the barrier, panthenol- soothes, moisturizes, and protects sensitive skin.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/06/medicube-PDRNPinkHyaluronicMoisturizingCream-600x600.webp,https://qudobeauty.com/product/medicube-pdrn-pink-hyaluronic-moisturizing-cream-50ml/
Medicube - Age-R Glutathione Glow Capsule Cream - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-23,8.80024E+12,"glutathione capsules- brighten, reduce dark spots, boost radiance, glutathione- powerful antioxidant that evens tone and protects the skin, niacinamide- brightens, strengthens the barrier, refines texture, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, softens, and supports moisture balance.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/medicube-age-r-glutathione-glow-capsule-e-ko-skin-01-600x600.webp,https://qudobeauty.com/product/medicube-age-r-glutathione-glow-capsule-cream-50ml/
Beauty of Joseon - Dynasty Cream Intensive Moisturizing Cream - 50 ml,Beauty of Joseon,Bulk Moisturizer,JOSEON-18,8.80953E+12,"Rice Bran Water (29%)- rich in amino acids and vitamins that moisturize, soften, and brighten dull skin. Ginseng Root Extract- revitalizes the skin, improves firmness, and boosts circulation for a radiant, healthy glow. Niacinamide (Vitamin B3)- brightens uneven tone, refines pores, and strengthens the skin barrier. Squalane- provides deep hydration while preventing moisture loss, leaving the skin supple and smooth. Ceramide NP- reinforces the barrier, protecting against dryness and environmental stress. Honey and Adenosine- deliver antioxidant and anti-aging benefits, enhancing elasticity and reducing fine lines.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_d11273815cb3405e245bb62d711281af-copy-600x600.webp,https://qudobeauty.com/product/beauty-of-joseon-dynasty-cream-intensive-moisturizing-cream-50-ml/
